hash,trainerName,lang,text
38b7dc377f38c8c1,"Vincent",de,"(nicht ""Sie sind...?"")."
9a5d59777f9b402d,"Vincent",de,"Ab 14 Uhr nachmittags."
6de581241feb1798,"Vincent",de,"abbiegen"
b94dc23a1c3e73d2,"Vincent",de,"Abend"
e05b2a27857938a9,"Vincent",de,"Abendessen"
6bb9f3cedc3be63d,"Vincent",de,"Aber der Sommer ist zu heiß."
ed2ce9429661bb62,"Vincent",de,"Aber die Aussicht am Meer ist schöner."
f150399909b04c48,"Vincent",de,"Aber die gefährlichste Stelle ist die Klippe dort drüben."
e5118ec07d3a9f28,"Vincent",de,"Aber es sieht sehr praktisch aus."
02f0aaa4b2105ffb,"Vincent",de,"abfahren"
24d3dbf7800fa5f6,"Vincent",de,"Abfahrt"
d851a225945372aa,"Vincent",de,"Ablauf"
2090f6885548ff8c,"Vincent",de,"Abschlussfeier"
80438a21575ae927,"Vincent",de,"Abteilungsleiter/in"
3cfba11bac08f7ad,"Vincent",de,"ach"
1ed872880fcf2ea3,"Vincent",de,"Ach so? Aber sie ist sehr praktisch."
8541f2edc46593b1,"Vincent",de,"Achtung"
55fff4bf70164a6d,"Vincent",de,"Adjektive: Grundform und Angleichung"
23c3e6cce86eb759,"Vincent",de,"Affe"
03f4ee90686b7dad,"Vincent",de,"Afrika"
e72133be46099d5f,"Vincent",de,"Ägypten"
aea525623c79eb20,"Vincent",de,"Ah, das ist von hier aus nah."
480218ad9f751fd0,"Vincent",de,"Ah, das Museum. Es ist neben dem Park."
fff2bee9209e48dd,"Vincent",de,"ähneln"
071370da028ea648,"Vincent",de,"ähnlich"
f1fec8425d8dd6dc,"Vincent",de,"Ähre"
35c13f9f514ddf8c,"Vincent",de,"Albanien"
3272ee8dd6468493,"Vincent",de,"Allergie"
5e1730e5bd45a3c8,"Vincent",de,"Alles gut, ich habe ihn. Danke."
bac25181454e46ea,"Vincent",de,"Alouette"
88d73fd548a5a383,"Vincent",de,"Alouette, Alouette, oh!"
c7617a10712b51c2,"Vincent",de,"Alouette, ich werde dich rupfen"
63de89d6dab4971a,"Vincent",de,"Alouette, liebe Alouette"
0749d1f631c4748f,"Vincent",de,"Als Faustregel: gibt es ein Nomen ohne bestimmten Artikel, wird kein benutzt; sonst nicht."
19c33aab03a6d557,"Vincent",de,"Als Nächstes, mach bitte ein Pflaster drauf."
581da6f24076105b,"Vincent",de,"Also klettert die kleine Spinne wieder hoch"
e737b46af2813948,"Vincent",de,"Alter"
74080e85e0aa14af,"Vincent",de,"ältere Schwester"
4ee67f84b6163d48,"Vincent",de,"älterer Bruder"
fa6ce9aad7ef0531,"Vincent",de,"Am Montag gibt es eine Besprechung. Sie beginnt um 10 Uhr."
7e617da63fbdeb26,"Vincent",de,"Am Montag habe ich eine Verabredung."
6ff5b3b69e82b4fd,"Vincent",de,"Am Nachmittag beginnt der Unterricht."
a7fa7a52fdece9eb,"Vincent",de,"am steht bei Tagen und Tagesabschnitten (am Montag, am Vormittag)."
75ccf1441240a420,"Vincent",de,"Am Vormittag habe ich Zeit."
9173075c9f087f16,"Vincent",de,"Am Wochenende ändere ich meinen Plan."
3d0edeb720839c40,"Vincent",de,"Am Wochenende bin ich frei."
55b6cc708e1483df,"Vincent",de,"Amerika"
c71d2c34e81f7139,"Vincent",de,"Amerika, die USA"
011fff8ed6bd275c,"Vincent",de,"Ampel"
7a1c9054b7fa8c9f,"Vincent",de,"ändern (Plan)"
4f88e7cbd2dea56d,"Vincent",de,"Änderung"
a85ccfb103f11588,"Vincent",de,"Anfang"
dd1dae1a38a0c3ab,"Vincent",de,"angenehm"
e294698656aefee9,"Vincent",de,"Angestellte/r"
5d449f2f3258a0c0,"Vincent",de,"Angst"
9ed2e0a5b2fb3229,"Vincent",de,"ängstlich, unruhig"
c84f636881b87e8e,"Vincent",de,"ankommen"
394d309b01070d3c,"Vincent",de,"Ankunft"
25d9509968ead81e,"Vincent",de,"anlegen (Accessoires)"
4a29c49760956a72,"Vincent",de,"anprobieren"
0bba0a9f35d3fd97,"Vincent",de,"ansehen"
a17ad1dac3f76ade,"Vincent",de,"anstrengend"
2443443816be1af5,"Vincent",de,"antworten"
